date,ticker,rmse,qlike,baseline_rmse,alert_upper_rmse,psi_rv,psi_feat_max,perf_alert,drift_alert,health_alert,health_all_same,health_has_negative,health_extreme_outlier,alert_level
2017-09-01,QQQ,0.03673171,503025.225181,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-10-03,QQQ,0.02456069,191441.685841,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-11-01,QQQ,0.03527605,75258.651064,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2017-12-01,QQQ,0.029755,12904.005572,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2018-01-03,QQQ,0.03099012,14128.104358,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2018-02-02,QQQ,0.05625597,35823.552865,0.06048643,0.084681,,,0,0,1,0,1,0,YELLOW
2018-03-06,QQQ,0.08669526,1115001.335205,0.06048643,0.084681,,,1,0,1,0,1,1,RED
2018-04-05,QQQ,0.11173591,1842813.100063,0.06048643,0.084681,0.4655,,1,1,1,0,1,0,RED
2018-05-04,QQQ,0.1023615,1842876.995328,0.06048643,0.084681,0.4655,11.3524,1,1,1,0,1,0,RED
2018-06-05,QQQ,0.07813636,1089919.116433,0.06048643,0.084681,0.4655,11.3524,0,1,1,0,1,0,RED
2018-07-05,QQQ,0.03831585,861540.321793,0.06048643,0.084681,0.1288,11.3524,0,1,1,0,1,0,RED
2018-08-03,QQQ,0.0298608,1162257.839067,0.06048643,0.084681,0.1288,5.1513,0,1,1,0,1,0,RED
2018-09-04,QQQ,0.02917388,1103449.762463,0.06048643,0.084681,0.1288,5.1513,0,1,1,0,1,0,RED
2018-10-03,QQQ,0.02514976,602798.857476,0.06048643,0.084681,0.1701,5.1513,0,1,1,0,1,0,RED
2018-11-01,QQQ,0.11278466,591106.023161,0.06048643,0.084681,0.1701,2.3414,1,1,1,0,1,0,RED
2018-12-03,QQQ,0.13768292,316426.058373,0.06048643,0.084681,0.1701,2.3414,1,1,1,0,1,0,RED
2019-01-04,QQQ,0.19676169,316421.621034,0.06048643,0.084681,2.591,2.3414,1,1,1,0,1,0,RED
2019-02-05,QQQ,0.16461473,2.718508,0.06048643,0.084681,2.591,16.5636,1,1,0,0,0,0,RED
2019-03-07,QQQ,0.14454493,225811.320263,0.06048643,0.084681,2.591,16.5636,1,1,1,0,1,0,RED
2019-04-05,QQQ,0.0383097,892061.305729,0.06048643,0.084681,0.0675,16.5636,0,1,1,0,1,0,RED
2019-05-07,QQQ,0.0308121,1316345.212961,0.06048643,0.084681,0.0675,3.4829,0,1,1,0,1,0,RED
2019-06-06,QQQ,0.06057521,1973941.717362,0.06048643,0.084681,0.0675,3.4829,0,1,1,0,1,0,RED
2019-07-08,QQQ,0.05755058,1664634.582022,0.06048643,0.084681,0.1737,3.4829,0,1,1,0,1,0,RED
2019-08-06,QQQ,0.07007424,1568954.852012,0.06048643,0.084681,0.1737,5.5717,0,1,1,0,1,0,RED
2019-09-05,QQQ,0.06946276,871010.045299,0.06048643,0.084681,0.1737,5.5717,0,1,1,0,1,0,RED
2019-10-04,QQQ,0.06989252,1086734.147643,0.06048643,0.084681,0.2454,5.5717,0,1,1,0,1,0,RED
2019-11-04,QQQ,0.05657842,1076884.834002,0.06048643,0.084681,0.2454,8.5517,0,1,1,0,1,0,RED
2019-12-04,QQQ,0.02192624,946779.389292,0.06048643,0.084681,0.2454,8.5517,0,1,1,0,1,0,RED
2020-01-06,QQQ,0.01817626,390611.648344,0.06048643,0.084681,0.3837,8.5517,0,1,1,0,1,0,RED
2020-02-05,QQQ,0.02865215,316712.312454,0.06048643,0.084681,0.3837,5.9527,0,1,1,0,1,0,RED
2020-03-06,QQQ,0.20519109,1678690.752952,0.06048643,0.084681,0.3837,5.9527,1,1,1,0,1,1,RED
2020-04-06,QQQ,0.6439806,1662190.840422,0.06048643,0.084681,0.9168,5.9527,1,1,1,0,1,0,RED
2020-05-06,QQQ,0.64880695,1417334.840415,0.06048643,0.084681,0.9168,12.956,1,1,1,0,1,0,RED
2020-06-05,QQQ,0.61671421,357195.131855,0.06048643,0.084681,0.9168,12.956,1,1,1,0,1,0,RED
2020-07-07,QQQ,0.12461693,1568634.384847,0.06048643,0.084681,0.8807,12.956,1,1,1,0,1,0,RED
2020-08-05,QQQ,0.10121679,2142430.949817,0.06048643,0.084681,0.8807,14.3345,1,1,1,0,1,0,RED
2020-09-03,QQQ,0.13364885,2725760.539812,0.06048643,0.084681,0.8807,14.3345,1,1,1,0,1,1,RED
2020-10-05,QQQ,0.13601465,1898986.387866,0.06048643,0.084681,2.2834,14.3345,1,1,1,0,1,0,RED
2020-11-03,QQQ,0.15701121,2345339.861941,0.06048643,0.084681,2.2834,14.292,1,1,1,0,1,0,RED
2020-12-03,QQQ,0.13138389,1614652.203103,0.06048643,0.084681,2.2834,14.292,1,1,1,0,1,0,RED
2021-01-05,QQQ,0.09558923,1813268.096415,0.06048643,0.084681,0.2229,14.292,1,1,1,0,1,0,RED
2021-02-04,QQQ,0.05848181,1963749.934681,0.06048643,0.084681,0.2229,5.6302,0,1,1,0,1,0,RED
2021-03-08,QQQ,0.09524389,3047020.585995,0.06048643,0.084681,0.2229,5.6302,1,1,1,0,1,0,RED
2021-04-07,QQQ,0.10123853,3105474.789168,0.06048643,0.084681,0.5655,5.6302,1,1,1,0,1,0,RED
2021-05-06,QQQ,0.09225096,2550740.777591,0.06048643,0.084681,0.5655,10.7379,1,1,1,0,1,0,RED
