Date,Close,High,Low,Open,Volume
2018-01-05,240.65496826171875,240.77817751822775,239.36112333545296,239.85401408255126,83524000
2018-01-08,241.0950927734375,241.25351621363447,240.2677345494723,240.5581775231667,57319200
2018-01-09,241.64071655273438,242.26562672470052,241.23582096140757,241.51748045262772,57254000
2018-01-10,241.27108764648438,241.53515354969787,240.2149046152303,240.88381247686453,69574300
2018-01-11,243.0313262939453,243.0313262939453,241.6582700778627,241.8255036942274,62361500
2018-01-12,244.6157989501953,244.7830058143293,242.99626952592325,243.29554966731774,90816100
2018-01-16,243.77947998046875,246.525592497555,243.08414159937195,245.8742785150605,106555100
2018-01-17,246.10321044921875,246.49048565078004,243.77958610038664,244.71255994218367,113258800
2018-01-18,245.68946838378906,246.41118384964335,245.19655087610764,245.98872150095318,100728000
2018-01-19,246.8072967529297,246.8072967529297,245.6894958496924,246.27038164407927,140920100
2018-01-22,248.8140411376953,248.8140411376953,246.54319861484595,246.5960332679467,91322400
2018-01-23,249.34219360351562,249.63263651822,248.532429194971,248.85808626496785,97084700
2018-01-24,249.2453155517578,250.58318460151446,248.06589674141077,249.98465151374285,134816100
2018-01-25,249.35096740722656,250.20472933165445,248.5588235370582,250.1079239839861,84587300
2018-01-26,252.2379608154297,252.28198523181229,249.93193018987827,250.18718585118629,107743100
2018-01-29,250.56558227539062,252.10587235640565,250.4071588850128,251.66578947611563,90118300
2018-01-30,247.99557495117188,250.6184523790427,247.52027780134623,248.73491115060395,131796400
2018-01-31,248.11878967285156,249.3510166989814,247.04498607996672,248.8493424937056,108364800
2018-02-01,247.8370361328125,249.13969098680522,247.04489240641502,247.3881699088178,90102500
2018-02-02,242.44168090820312,246.64887236739563,242.40646675517465,246.51682600867105,173174800
2018-02-05,232.30213928222656,242.79372681065547,231.75644081648184,240.681334388842,294681800
2018-02-06,236.8789825439453,237.3806834043244,227.69886138259187,228.79025817876507,355026800
2018-02-07,235.59396362304688,239.72191602483426,235.5147250731593,236.32448933195957,167376100
2018-02-08,226.7571258544922,236.03408117347925,226.72191170053435,235.89325141817721,246449500
2018-02-09,230.16334533691406,232.02048219017414,222.61152153411334,229.54721856312062,283565300
2018-02-12,233.543212890625,235.0131017383919,230.30420887774528,232.21415380783523,143736000
2018-02-13,234.12413024902344,234.66982881131727,231.7564818205949,232.33739453996532,81223600
2018-02-14,237.283935546875,237.64480681010988,232.62785014434985,232.63666039923194,120735700
2018-02-15,240.3116912841797,240.32050153842815,236.56217600658562,239.02665660887322,111200300
2018-02-16,240.3820343017578,242.32721978062207,239.64269835895715,239.68672275896623,160420100
2018-02-20,238.87705993652344,240.8750540552348,238.08491586582383,239.43156884417397,86369700
2018-02-21,237.6887969970703,241.79918368018073,237.59199163850008,239.31710932833758,98883700
2018-02-22,237.99679565429688,240.32922934550533,237.32788799940926,238.61292237749535,110511300
2018-02-23,241.7903594970703,241.7903594970703,238.7449930968572,239.22029018931661,92766400
2018-02-26,244.59808349609375,244.69491570673415,242.2744596276138,242.8641557031754,86491400
2018-02-27,241.54385375976562,245.49581580776734,241.4822357175162,244.78285691699728,99099200
2018-02-28,239.09706115722656,243.09302186073816,238.78021432655427,242.64412865675416,121907800
2018-03-01,235.62042236328125,240.43493091456583,234.12412958786794,238.88583033395267,176855100
2018-03-02,236.8350372314453,237.39835632114153,233.0855486252185,233.94809404808356,139083200
2018-03-05,239.572265625,240.18839226043633,235.54109232336012,235.64673475326558,97307400
2018-03-06,240.1796417236328,240.62853486564214,238.68334915728698,240.54929630838222,79213200
2018-03-07,240.09169006347656,240.4437511055316,237.82087351076623,238.01451111297686,87063500
2018-03-08,241.25343322753906,241.37664246291007,239.7747612399278,240.76932595718998,66901200
2018-03-09,245.45191955566406,245.45191955566406,242.34493425219506,242.66180802025295,113625300
2018-03-12,245.143798828125,246.3672423323109,244.75652368007562,245.7423320590852,71924800
2018-03-13,243.55943298339844,246.8072462906102,242.95211655291016,246.30554543750716,91968900
2018-03-14,242.30966186523438,244.70371419100942,241.75517991030418,244.51888687269934,105895100
2018-03-15,242.045654296875,243.46270868897437,241.54395322144032,242.8202046883106,83433000
